Company,Amount ($M),Series,Sector,HQ,Date,Source
https://dhan.co/,$120.00,,Fintech,Mumbai,06/10/2025,https://entrackr.com/news/dhan-turns-unicorn-after-120-mn-fundraise-led-by-hornbill-capital-10532947
https://www.intangles.ai/,$30.00,Series B,Predictive AI for vehicles,Pune,07/10/2025,https://entrackr.com/snippets/intangles-raises-30-mn-in-series-b-round-led-by-avataar-venture-10537356
https://hungerinc.in/,$25.00,,Hospitality,Mumbai,10/10/2025,https://entrackr.com/news/hunger-inc-raises-rs-215-cr-from-lighthouse-and-dsg-consumer-partners-10546972
https://www.ruskmedia.com/,$12.00,Series B,Entertainment,Delhi-NCR,09/10/2025,https://entrackr.com/news/rusk-media-raises-rs-103-cr-in-series-b-round-10544942
https://greylabs.ai/,$9.60,Series A,Voice AI,Mumbai,06/10/2025,https://entrackr.com/news/greylabs-ai-raises-rs-85-cr-led-by-elevation-to-launch-voice-ai-agents-for-bfsi-10532249
https://www.meolaa.com/,$6.00,Pre-Series A,E-Commerce,Bengaluru,08/10/2025,https://entrackr.com/snippets/fmcg-company-meolaa-raises-6-mn-led-by-general-catalyst-10540872
https://www.lucioai.com/,$5.00,,Legal Tech,Bengaluru,07/10/2025,https://entrackr.com/snippets/legal-tech-startup-lucio-raises-5-mn-led-by-devc-10536460
https://www.morphing.in/,$4.32,Series A,Semiconductor,Bengaluru,06/10/2025,https://entrackr.com/snippets/morphing-machines-raises-rs-3836-cr-in-series-a-round-led-by-ian-alpha-fund-10533760
https://ecoex.market/,$4.00,Seed,Sustainable waster management,Delhi-NCR,06/10/2025,https://entrackr.com/snippets/ecoex-raises-4-mn-in-seed-funding-round-10533403
https://www.meetaugust.ai/,$3.00,,Healthtech,,07/10/2025,https://entrackr.com/snippets/august-ai-raises-3-mn-from-accel-and-claypond-capital-10536084
https://navatascs.com/,$1.52,,B2B logistics,Hyderabad,06/10/2025,https://entrackr.com/snippets/navata-supply-chain-solutions-raises-rs-135-cr-led-by-abyro-capital-10533000
https://finarkein.com/,$1.50,Pre-Series A,Fintech,Pune,06/10/2025,https://entrackr.com/snippets/finarkein-raises-15-mn-in-pre-series-a-round-led-by-dsp-group-family-office-10534094
https://www.trusterra.in/,$1.00,Pre-Seed,Marketplace for EVs,Gurugram,07/10/2025,https://entrackr.com/snippets/trusterra-bags-1-mn-in-pre-seed-round-co-led-by-finvolve-india-accelerator-10537428
https://www.contrails.ai/contact,$1.00,Pre-Seed,Trust and safety-tech AI,Bengaluru,07/10/2025,https://entrackr.com/snippets/contrails-ai-raises-1-mn-in-pre-seed-round-from-huddle-ventures-and-ian-group-10537705
https://www.thrustworksdynetics.in/,$0.79,Seed,Spacetech,Pune,07/10/2025,https://entrackr.com/snippets/thrustworks-dynetics-raises-seed-round-led-by-jamwant-ventures-10536990
https://newtral.io/,$0.60,,Climate-Tech,Bengaluru,08/10/2025,https://entrackr.com/snippets/climate-tech-startup-newtral-raises-600k-from-now-accelerate-10540860
https://www.affluense.ai/,$0.34,Pre-Seed,AI,Bengaluru,06/10/2025,https://entrackr.com/snippets/affluense-ai-raises-pre-seed-round-led-by-zeropearl-vc-10533601
https://zillout.com/,$0.30,Seed,SaaS,Bengaluru,07/10/2025,https://entrackr.com/snippets/zillout-raises-seed-funding-round-10537272
https://decortwist.com/,$0.20,Bridge Pre-Series A,D2C Home Decor,Delhi-NCR,06/10/2025,https://entrackr.com/snippets/d2c-home-decor-brand-decortwist-raises-200k-10533888
https://jaagrukbharat.com/,$0.17,Pre-Seed,Civic Tech,Delhi,08/10/2025,https://entrackr.com/snippets/jaagruk-bharat-raises-rs-15-cr-in-pre-seed-round-led-by-ajvc-10540026
