Company,Amount ($M),Series,Sector,HQ,Date,Source
https://kapiva.in/,$60.00,Series D,Wellness and Fitness - D2C Brand,Bengaluru,29/09/2025,https://entrackr.com/news/d2c-brand-kapiva-raises-60-mn-in-series-d-fireside-ventures-exits-10511610
https://www.recurclub.com/,$50.00,Equity + Debt,Fintech - Debt Marketplace,Delhi,29/09/2025,https://inc42.com/buzz/recur-club-raises-50-mn-to-expand-its-debt-marketplace/
https://www.growxcd.com/,$22.55,,Fintech,Chennai,01/10/2025,https://economictimes.indiatimes.com/tech/funding/blue-earth-leads-rs-200-crore-investment-in-growxcd/articleshow/124248298.cms
https://artoftimeindia.com/,$19.70,," luxury watch retailer,",Mumbai,03/10/2025,https://entrackr.com/snippets/luxury-watch-retailer-art-of-time-raises-rs-175-cr-in-fresh-round-10524495
https://www.petpooja.com/,$15.50,Series C,SaaS,Ahmedabad,29/09/2025,https://entrackr.com/news/petpooja-raises-155-mn-series-c-at-over-3x-valuation-premium-10512396
https://www.hocco.in/,$13.00,,Ice Cream Brand,Ahmedabad,29/09/2025,https://entrackr.com/news/ice-cream-brand-hocco-raises-rs-115-cr-at-rs-2000-cr-valuation-10511951
https://www.rugr.com/,$5.00,Pre-Series A,Fintech,Bengaluru,29/09/2025,https://entrackr.com/snippets/rugr-fintech-raises-5-mn-in-pre-series-a-round-led-by-vikasa-india-eif-i-fund-10513861
https://www.assessli.com/,$5.00,,AI,Kolkata,30/09/2025,https://inc42.com/buzz/ai-startup-assessli-nets-inr-44-cr-to-build-large-behavioural-models/
https://fyno.io/,$4.00,Seed,Enterprise messaging,Bengaluru,30/09/2025,https://entrackr.com/snippets/enterprise-messaging-startup-fyno-bags-4-mn-in-seed-round-10516360
https://ignosis.ai/,$4.00,Pre-Series A,Fintech,Ahmedabad,30/09/2025,https://entrackr.com/snippets/ignosis-raises-4-mn-in-pre-series-a-led-by-peak-xvs-surge-10515879
https://www.vama.app/,$2.47,Pre-Series A,Faith-Tech,Delhi,30/09/2025,https://entrackr.com/snippets/vama-raises-rs-22-cr-in-pre-series-a-round-led-by-wavemaker-partners-10515347
https://www.unmannd.com/,$2.00,Pre-Seed,Defense Tech,Bengaluru,30/09/2025,https://entrackr.com/snippets/unmannd-raises-2-mn-in-pre-seed-round-led-by-speciale-invest-and-accel-10515234
https://igowise.com/,$0.92,Pre-Seed,EV,Bengaluru,29/09/2025,https://entrackr.com/snippets/igowise-mobility-raises-rs-82-cr-in-pre-seed-round-10513050
https://www.superfam.app/,$0.40,Pre-Seed,Fintech,Bengaluru,30/09/2025,https://entrackr.com/snippets/superfam-raises-pre-seed-round-led-by-fundamental-vc-10515666
https://www.vaaniresearch.com/,$0.40,Pre-Seed,AI,Bengaluru,29/09/2025,https://entrackr.com/snippets/vaani-ai-research-raises-400k-pre-seed-round-led-by-venture-catalysts-10512994
