Company,Amount ($M),Series,Sector,HQ,Date,Source
https://geniemode.com/home,$50.00,Series C,B2B - E-Commerce,Gurugram,24/02/2025,https://entrackr.com/news/geniemode-raises-50-mn-in-series-c-round-led-by-multiples-and-fundamentum-8751618
https://www.mocindia.co.in/,$18.00,,Healthcare,Mumbai,26/02/2025,https://entrackr.com/news/moc-cancer-care-raises-18-mn-led-by-elevation-capital-8757518
https://www.oxyzo.in/,$11.47,Debt,Fintech - Lending,Gurugram,24/02/2025,https://entrackr.com/exclusive/exclusive-oxyzo-secures-rs-100-cr-debt-8751441
http://www.quickclean.co.in/,$5.74,Series A,Laundry Service,Delhi,26/02/2025,https://entrackr.com/snippets/quick-clean-raises-rs-50-cr-in-series-a-round-8758289
https://www.vidyuttech.com/,$2.50,,EV,Bengaluru,26/02/2025,https://entrackr.com/snippets/vidyut-raises-25-mn-to-expand-battery-as-a-service-financing-biz-8757423
https://hiwipay.com/,$2.00,Seed,Cross Border Payments,Mumbai,26/02/2025,https://entrackr.com/snippets/hiwipay-raises-2-mn-in-seed-funding-led-by-unicorn-india-ventures-8757888
https://www.sisirradar.com/,$1.50,Seed,Spacetech,Kolkata,28/02/2025,https://entrackr.com/snippets/spacetech-startup-sisir-radar-raises-15-mn-in-seed-round-8764118
https://jobizo.com/,$1.40,Seed,Healthcare HRtech,Gurugram,25/02/2025,https://entrackr.com/snippets/jobizo-raises-14-mn-led-by-alkemi-growth-capital-8756369
https://astrogatelabs.com/,$1.30,,Spacetech,Bengaluru,27/02/2025,https://entrackr.com/snippets/astrogate-labs-raises-13-mn-led-by-piper-serica-8760743
https://tripletapgames.com/,$1.20,Pre-Seed,Gaming,Mumbai,26/02/2025,https://entrackr.com/snippets/triple-tap-games-raises-12-mn-in-pre-seed-round-led-by-eximius-and-kalaari-8757670
https://technodysis.com/,$1.14,Debt,IT,Bengaluru,25/02/2025,https://entrackr.com/snippets/technodysis-secures-rs-10-cr-in-debt-from-recur-club-8754530
https://dodopayments.com/,$1.10,Pre-Seed,Fintech,Bengaluru,25/02/2025,https://entrackr.com/snippets/dodo-payments-raises-11-mn-in-pre-seed-round-8754518
https://www.ritualistic.in/,$1.00,,Home Decor Brand,,27/02/2025,https://entrackr.com/snippets/home-decor-brand-ritualistic-raises-1-mn-8761454
https://earthful.me/,$0.57,Seed,Plant-based Nutrition Brand,Hyderabad,27/02/2025,https://entrackr.com/snippets/nutrition-brand-earthful-raises-seed-round-8761096
https://www.pickkup.io/,$0.50,Seed,Logistics,Chandigarh,27/02/2025,https://entrackr.com/snippets/logistics-startup-pickkup-raises-500k-in-seed-round-led-by-we-founder-circle-8761206
https://www.makeinthebox.com/,$0.26,Seed,Deeptech,Bengaluru,25/02/2025,https://entrackr.com/snippets/make-in-box-secures-260k-in-pre-series-funding-round-8755436
https://amantyacare.com/,,Pre-Seed,Skincare,Delhi,28/02/2025,https://entrackr.com/snippets/rishabh-pant-backs-skincare-brand-amantyacare-8764813
